Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: humidity : 209, avgHumidity : 5535.167464114833, timeSpent : 146
     [java] Event: humidity : 208, avgHumidity : 5543.399038461538, timeSpent : 146
     [java] Event: humidity : 207, avgHumidity : 5541.405797101449, timeSpent : 147
     [java] Event: humidity : 206, avgHumidity : 5541.131067961165, timeSpent : 147
     [java] Event: humidity : 205, avgHumidity : 5564.79512195122, timeSpent : 147
     [java] Event: humidity : 204, avgHumidity : 5556.39705882353, timeSpent : 147
     [java] Event: humidity : 203, avgHumidity : 5570.9605911330045, timeSpent : 147
     [java] Event: humidity : 202, avgHumidity : 5553.653465346535, timeSpent : 147
     [java] Event: humidity : 201, avgHumidity : 5572.940298507463, timeSpent : 148
     [java] Event: humidity : 200, avgHumidity : 5569.67, timeSpent : 148
     [java] Event: humidity : 219, avgHumidity : 5571.995433789954, timeSpent : 148
     [java] Event: humidity : 217, avgHumidity : 5568.608294930876, timeSpent : 148
     [java] Event: humidity : 198, avgHumidity : 5575.888888888889, timeSpent : 149
     [java] Event: humidity : 216, avgHumidity : 5572.37962962963, timeSpent : 149
     [java] Event: humidity : 215, avgHumidity : 5567.293023255814, timeSpent : 149
     [java] Event: humidity : 221, avgHumidity : 5563.89592760181, timeSpent : 149
     [java] Event: humidity : 220, avgHumidity : 5547.181818181818, timeSpent : 149
     [java] Event: humidity : 222, avgHumidity : 5567.342342342342, timeSpent : 150
     [java] Event: humidity : 218, avgHumidity : 5561.848623853211, timeSpent : 150
     [java] Event: humidity : 224, avgHumidity : 5582.160714285715, timeSpent : 150
     [java] Event: humidity : 223, avgHumidity : 5577.0, timeSpent : 150
     [java] Event: humidity : 226, avgHumidity : 5557.451327433629, timeSpent : 150
     [java] Event: humidity : 229, avgHumidity : 5551.5502183406115, timeSpent : 151
     [java] Event: humidity : 228, avgHumidity : 5568.19298245614, timeSpent : 151
     [java] Event: humidity : 227, avgHumidity : 5576.929515418502, timeSpent : 151
     [java] Event: humidity : 236, avgHumidity : 5507.550847457627, timeSpent : 152
     [java] Event: humidity : 235, avgHumidity : 5527.446808510638, timeSpent : 152
     [java] Event: humidity : 234, avgHumidity : 5512.376068376068, timeSpent : 152
     [java] Event: humidity : 233, avgHumidity : 5518.227467811159, timeSpent : 152
     [java] Event: humidity : 230, avgHumidity : 5546.643478260869, timeSpent : 153
     [java] Event: humidity : 231, avgHumidity : 5524.168831168831, timeSpent : 153
     [java] Event: humidity : 225, avgHumidity : 5576.346666666666, timeSpent : 153
     [java] Event: humidity : 232, avgHumidity : 5509.185344827586, timeSpent : 153
     [java] Event: humidity : 238, avgHumidity : 5504.273109243697, timeSpent : 154
     [java] Event: humidity : 239, avgHumidity : 5513.564853556485, timeSpent : 154
     [java] Event: humidity : 240, avgHumidity : 5523.425, timeSpent : 155
     [java] Event: humidity : 241, avgHumidity : 5538.925311203319, timeSpent : 156
