Buildfile: /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml

init:

compile:
    [javac] /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/build.xml:87: warning: 'includeantruntime' was not set, defaulting to build.sysclasspath=last; set to false for repeatable builds
    [javac] Compiling 1 source file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes
     [copy] Copying 1 file to /home/chamod/Softwares/wso2/wso2das-3.1.0/samples/cep/consumers/wso2-event-consumer/temp/classes

run:
     [echo] Configure optionally use -DelapsedCount=xxxx -Dprotocol='thrift/binary' -Dhost=xxxx -Dport=xxxx
     [echo]             -DcalcType='throughput/latency'
     [echo]         
     [java] Shutdown hook added.
     [java] PUNCTUATION SERVER started................
     [java] Unable to determine dialect of the StAX implementation at jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/axiom_1.2.11.wso2v11.jar!/
     [java] SLF4J: Class path contains multiple SLF4J bindings.
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.13.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: Found binding in [jar:file:/home/chamod/Softwares/wso2/wso2das-3.1.0/repository/components/plugins/slf4j.log4j12_1.7.21.jar!/org/slf4j/impl/StaticLoggerBinder.class]
     [java] SLF4J: See http://www.slf4j.org/codes.html#multiple_bindings for an explanation.
     [java] Thrift Server started at localhost
     [java] Thrift SSL port : 7761
     [java] Thrift port : 7661
     [java] Test Server Started
     [java] user admin connected
     [java] Event: count : 213, maxHumidity : 987150, timeSpent : 23388
     [java] Event: count : 214, maxHumidity : 987150, timeSpent : 23501
     [java] Event: count : 215, maxHumidity : 987150, timeSpent : 23616
     [java] Event: count : 216, maxHumidity : 987150, timeSpent : 23734
     [java] Event: count : 217, maxHumidity : 987150, timeSpent : 23845
     [java] Event: count : 218, maxHumidity : 987150, timeSpent : 23956
     [java] Event: count : 219, maxHumidity : 987150, timeSpent : 24072
     [java] Event: count : 220, maxHumidity : 987150, timeSpent : 24184
     [java] Event: count : 221, maxHumidity : 987150, timeSpent : 24296
     [java] Event: count : 222, maxHumidity : 987150, timeSpent : 24407
     [java] Event: count : 223, maxHumidity : 987150, timeSpent : 24521
     [java] Event: count : 224, maxHumidity : 987150, timeSpent : 24632
     [java] Event: count : 225, maxHumidity : 987150, timeSpent : 24743
     [java] Event: count : 226, maxHumidity : 987150, timeSpent : 24854
     [java] Event: count : 227, maxHumidity : 987150, timeSpent : 24965
     [java] Event: count : 228, maxHumidity : 987150, timeSpent : 25076
     [java] Event: count : 229, maxHumidity : 987150, timeSpent : 25187
     [java] Event: count : 230, maxHumidity : 987150, timeSpent : 25300
     [java] Event: count : 231, maxHumidity : 987150, timeSpent : 25410
     [java] Event: count : 232, maxHumidity : 987150, timeSpent : 25521
     [java] Event: count : 233, maxHumidity : 987150, timeSpent : 25631
     [java] Event: count : 234, maxHumidity : 987150, timeSpent : 25742
     [java] Event: count : 235, maxHumidity : 987150, timeSpent : 25854
     [java] Event: count : 236, maxHumidity : 987150, timeSpent : 25963
     [java] Event: count : 237, maxHumidity : 987150, timeSpent : 26074
     [java] Event: count : 238, maxHumidity : 987150, timeSpent : 26184
     [java] Event: count : 239, maxHumidity : 987150, timeSpent : 26296
     [java] Event: count : 240, maxHumidity : 987150, timeSpent : 26409
     [java] Event: count : 241, maxHumidity : 987150, timeSpent : 26520
     [java] Event: count : 242, maxHumidity : 987150, timeSpent : 26638
     [java] Event: count : 243, maxHumidity : 987150, timeSpent : 26755
     [java] Event: count : 244, maxHumidity : 987150, timeSpent : 26873
     [java] Event: count : 245, maxHumidity : 987150, timeSpent : 26986
     [java] Event: count : 246, maxHumidity : 987150, timeSpent : 27099
     [java] Event: count : 247, maxHumidity : 987150, timeSpent : 27210
     [java] Event: count : 248, maxHumidity : 987150, timeSpent : 27320
     [java] Event: count : 249, maxHumidity : 987150, timeSpent : 27432
     [java] Event: count : 250, maxHumidity : 987150, timeSpent : 27543
     [java] Event: count : 251, maxHumidity : 987150, timeSpent : 27655
     [java] Event: count : 252, maxHumidity : 987150, timeSpent : 27766
